Criptomoneda,Tipo de Cambio USD,Precio Maximo,Precio Minimo
bitcoin,25820.0,67617.0155448617,3216.6271499079407
ethereum,1648.1,4815.004634322234,83.78596235654511
tether,1.0,1.015650975162036,0.9755415539151696
binancecoin,216.25,675.0989738046136,4.470332467334587
ripple,0.515156,1.837676647316653,0.13782959908786777
usd-coin,1.002,1.043464578265039,0.9655782350580624
staked-ether,1642.37,4775.452755152845,596.7677113169867
cardano,0.260754,2.96707544958908,0.023715965392713114
dogecoin,0.062248,0.6818416367796407,0.0014834682898671341
solana,20.44,259.23955828664066,0.5139234956267317
internet-computer,3.51,461.64888756786746,3.396556905380122
the-sandbox,0.318719,7.5136387440751715,0.03085144475403621
axie-infinity,4.8,159.7612216423601,0.13489262621204753
immutable-x,0.55911,9.312376805256974,0.38258935789275295
apecoin,1.41,23.628971352147655,1.4369878309285473
gala,0.01923212,0.7192389817668723,0.0001979945832911882
illuvium,42.37,1844.4847712868577,30.980932838500586
enjincoin,0.237752,4.456510002241104,0.022511102360324376
stepn,0.166385,3.834993100979751,0.11723373319105394
floki,1.743e-05,0.0003095494339037728,1.0627468827130751e-07
